Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,80,4,Some Random Commen with Id 0
1,2,2,69,7,Some Random Commen with Id 1
2,2,2,11,6,Some Random Commen with Id 2
3,2,2,66,4,Some Random Commen with Id 3
4,2,2,54,5,Some Random Commen with Id 4
5,2,2,64,0,Some Random Commen with Id 5
6,2,2,99,8,Some Random Commen with Id 6
7,2,2,102,2,Some Random Commen with Id 7
8,3,3,59,4,Some Random Commen with Id 8
9,3,3,14,3,Some Random Commen with Id 9
10,3,3,28,4,Some Random Commen with Id 10
11,3,3,14,5,Some Random Commen with Id 11
12,3,3,63,9,Some Random Commen with Id 12
13,3,3,180,1,Some Random Commen with Id 13
14,4,4,18,3,Some Random Commen with Id 14
15,4,4,21,1,Some Random Commen with Id 15
16,4,4,54,6,Some Random Commen with Id 16
17,4,4,127,9,Some Random Commen with Id 17
18,4,4,176,6,Some Random Commen with Id 18
19,4,4,80,5,Some Random Commen with Id 19
20,4,4,145,6,Some Random Commen with Id 20
21,5,3,136,9,Some Random Commen with Id 21
22,5,3,60,9,Some Random Commen with Id 22
23,5,3,41,6,Some Random Commen with Id 23
24,5,3,85,8,Some Random Commen with Id 24
25,5,3,52,7,Some Random Commen with Id 25
26,5,3,162,9,Some Random Commen with Id 26
27,5,3,144,3,Some Random Commen with Id 27
28,5,3,99,1,Some Random Commen with Id 28
29,6,0,11,7,Some Random Commen with Id 29
30,6,0,150,9,Some Random Commen with Id 30
31,6,0,105,2,Some Random Commen with Id 31
32,6,0,96,9,Some Random Commen with Id 32
33,6,0,114,8,Some Random Commen with Id 33
34,8,1,192,5,Some Random Commen with Id 34
35,8,1,61,4,Some Random Commen with Id 35
36,9,9,13,9,Some Random Commen with Id 36
37,9,9,91,6,Some Random Commen with Id 37
38,9,9,170,2,Some Random Commen with Id 38
39,9,9,151,6,Some Random Commen with Id 39
40,9,9,33,7,Some Random Commen with Id 40
41,9,9,191,8,Some Random Commen with Id 41
42,9,9,68,0,Some Random Commen with Id 42
43,10,8,84,1,Some Random Commen with Id 43
44,10,8,27,8,Some Random Commen with Id 44
45,10,8,76,2,Some Random Commen with Id 45
46,10,8,28,9,Some Random Commen with Id 46
47,10,8,117,1,Some Random Commen with Id 47
48,10,8,56,6,Some Random Commen with Id 48
49,11,2,70,9,Some Random Commen with Id 49
50,11,2,159,8,Some Random Commen with Id 50
51,11,2,47,7,Some Random Commen with Id 51
52,11,2,27,4,Some Random Commen with Id 52
53,11,2,85,3,Some Random Commen with Id 53
54,12,9,71,3,Some Random Commen with Id 54
55,12,9,130,3,Some Random Commen with Id 55
56,12,9,154,3,Some Random Commen with Id 56
57,12,9,90,3,Some Random Commen with Id 57
58,12,9,77,2,Some Random Commen with Id 58
59,12,9,113,1,Some Random Commen with Id 59
60,12,9,65,3,Some Random Commen with Id 60
61,12,9,98,3,Some Random Commen with Id 61
62,13,5,142,3,Some Random Commen with Id 62
63,13,5,40,1,Some Random Commen with Id 63
64,13,5,104,7,Some Random Commen with Id 64
65,13,5,92,9,Some Random Commen with Id 65
66,13,5,185,3,Some Random Commen with Id 66
67,13,5,158,6,Some Random Commen with Id 67
68,13,5,8,0,Some Random Commen with Id 68
69,14,1,74,0,Some Random Commen with Id 69
70,14,1,54,1,Some Random Commen with Id 70
71,14,1,137,6,Some Random Commen with Id 71
72,14,1,49,3,Some Random Commen with Id 72
73,14,1,5,6,Some Random Commen with Id 73
74,14,1,75,3,Some Random Commen with Id 74
75,14,1,92,0,Some Random Commen with Id 75
76,14,1,142,6,Some Random Commen with Id 76
77,14,1,175,8,Some Random Commen with Id 77
78,15,1,26,4,Some Random Commen with Id 78
79,15,1,141,3,Some Random Commen with Id 79
80,15,1,175,4,Some Random Commen with Id 80
81,15,1,6,0,Some Random Commen with Id 81
82,15,1,73,4,Some Random Commen with Id 82
83,15,1,90,9,Some Random Commen with Id 83
84,15,1,64,5,Some Random Commen with Id 84
85,15,1,174,1,Some Random Commen with Id 85
86,15,1,45,6,Some Random Commen with Id 86
87,16,4,27,8,Some Random Commen with Id 87
88,16,4,183,6,Some Random Commen with Id 88
89,16,4,192,9,Some Random Commen with Id 89
90,16,4,21,0,Some Random Commen with Id 90
91,17,9,61,1,Some Random Commen with Id 91
92,17,9,148,6,Some Random Commen with Id 92
93,18,6,11,9,Some Random Commen with Id 93
94,18,6,74,9,Some Random Commen with Id 94
95,18,6,157,1,Some Random Commen with Id 95
96,18,6,150,0,Some Random Commen with Id 96
97,19,8,175,5,Some Random Commen with Id 97
98,19,8,81,3,Some Random Commen with Id 98
99,19,8,114,3,Some Random Commen with Id 99
100,19,8,81,2,Some Random Commen with Id 100
101,19,8,127,2,Some Random Commen with Id 101
102,19,8,89,9,Some Random Commen with Id 102
103,19,8,83,9,Some Random Commen with Id 103
104,19,8,19,2,Some Random Commen with Id 104
105,20,9,159,4,Some Random Commen with Id 105
106,20,9,69,3,Some Random Commen with Id 106
107,20,9,47,6,Some Random Commen with Id 107
108,21,7,40,3,Some Random Commen with Id 108
109,21,7,108,6,Some Random Commen with Id 109
110,21,7,21,2,Some Random Commen with Id 110
111,21,7,155,7,Some Random Commen with Id 111
112,22,1,142,5,Some Random Commen with Id 112
113,22,1,113,1,Some Random Commen with Id 113
114,22,1,153,2,Some Random Commen with Id 114
115,23,6,197,8,Some Random Commen with Id 115
116,23,6,72,4,Some Random Commen with Id 116
117,23,6,67,7,Some Random Commen with Id 117
118,23,6,194,0,Some Random Commen with Id 118
119,23,6,124,8,Some Random Commen with Id 119
120,23,6,144,1,Some Random Commen with Id 120
121,23,6,42,7,Some Random Commen with Id 121
122,23,6,87,0,Some Random Commen with Id 122
123,24,7,29,4,Some Random Commen with Id 123
124,24,7,168,7,Some Random Commen with Id 124
125,24,7,186,0,Some Random Commen with Id 125
126,24,7,109,5,Some Random Commen with Id 126
127,24,7,40,2,Some Random Commen with Id 127
128,24,7,168,9,Some Random Commen with Id 128
129,24,7,196,3,Some Random Commen with Id 129
130,24,7,191,4,Some Random Commen with Id 130
131,25,8,128,7,Some Random Commen with Id 131
132,25,8,118,8,Some Random Commen with Id 132
133,25,8,168,6,Some Random Commen with Id 133
134,26,7,63,4,Some Random Commen with Id 134
135,26,7,45,1,Some Random Commen with Id 135
136,26,7,164,2,Some Random Commen with Id 136
137,26,7,130,0,Some Random Commen with Id 137
138,26,7,161,9,Some Random Commen with Id 138
139,26,7,103,5,Some Random Commen with Id 139
140,26,7,131,0,Some Random Commen with Id 140
141,26,7,194,8,Some Random Commen with Id 141
142,27,4,45,9,Some Random Commen with Id 142
143,27,4,4,0,Some Random Commen with Id 143
144,27,4,56,6,Some Random Commen with Id 144
145,28,6,177,1,Some Random Commen with Id 145
146,28,6,76,1,Some Random Commen with Id 146
147,28,6,42,1,Some Random Commen with Id 147
148,28,6,192,1,Some Random Commen with Id 148
149,28,6,119,7,Some Random Commen with Id 149
150,29,9,26,0,Some Random Commen with Id 150
151,29,9,106,1,Some Random Commen with Id 151
152,29,9,189,1,Some Random Commen with Id 152
153,30,9,11,4,Some Random Commen with Id 153
154,31,3,28,6,Some Random Commen with Id 154
155,31,3,41,1,Some Random Commen with Id 155
156,32,2,111,3,Some Random Commen with Id 156
157,32,2,158,6,Some Random Commen with Id 157
158,32,2,133,6,Some Random Commen with Id 158
159,32,2,178,0,Some Random Commen with Id 159
160,32,2,87,8,Some Random Commen with Id 160
161,32,2,192,8,Some Random Commen with Id 161
162,33,1,111,7,Some Random Commen with Id 162
163,33,1,63,7,Some Random Commen with Id 163
164,33,1,47,0,Some Random Commen with Id 164
165,33,1,170,3,Some Random Commen with Id 165
166,33,1,71,3,Some Random Commen with Id 166
167,33,1,3,6,Some Random Commen with Id 167
168,33,1,12,6,Some Random Commen with Id 168
169,33,1,42,0,Some Random Commen with Id 169
170,33,1,47,8,Some Random Commen with Id 170
171,34,8,106,2,Some Random Commen with Id 171
172,34,8,183,1,Some Random Commen with Id 172
173,34,8,127,4,Some Random Commen with Id 173
174,34,8,9,5,Some Random Commen with Id 174
175,34,8,188,7,Some Random Commen with Id 175
176,34,8,125,5,Some Random Commen with Id 176
177,34,8,119,8,Some Random Commen with Id 177
178,34,8,77,0,Some Random Commen with Id 178
179,34,8,57,6,Some Random Commen with Id 179
180,35,5,146,9,Some Random Commen with Id 180
